COD,SUBCOD,CODE1,CODE2,D_NAME,FULLNAME,ABBR,DATA_COZD,DATA_ZAKR
594,521,33,0,"НИЛ деталей машин, трения и смазки","Научно-исследовательская лаборатория деталей машин, трения и смазки",НИЛДМТиС,1993-03-17T00:00:00,2013-01-31T00:00:00
595,2076,33,54,НИЛ гидропривода,Научно-исследовательская лаборатория гидропривода,НИЛ ГП,1993-03-17T00:00:00,
596,522,36,0,НИЛ эксперим. ядерной физики,Научно-исследовательская лаборатория экспериментальной ядерной физики,НИЛ ЭЯФ,1993-03-17T00:00:00,2013-02-01T00:00:00
597,522,36,0,НИЛ физики металлов,Научно-исследовательская лаборатория физики металлов,НИЛ ФМ,1993-03-17T00:00:00,2009-12-01T00:00:00
598,1864,36,54,НИЛ гидроаэродинамики,Научно-исследовательская лаборатория гидроаэродинамики,НИЛ ГАД,1993-03-17T00:00:00,
599,1864,36,66,"УНИЛ ""Вычислительная механика""","Учебная научно-исследовательская лаборатория ""Вычислительная механика""",УНИЛ ВМ,1993-03-17T00:00:00,
6,1858,31,1,"Кафедра ""Водохозяйственное и гидротехническое строительство""","Кафедра ""Водохозяйственное и гидротехническое строительство""",ВиГС,2000-05-03T00:00:00,
60,51,0,0,Кафедра металловедения,"Кафедра ""Металловедение""",КМетВ,1968-11-20T00:00:00,2009-03-05T00:00:00
600,522,36,0,НИЛ теплофизики,Научно-исследовательская лаборатория теплофизики,НИЛ ТПФ,1993-03-17T00:00:00,2009-12-01T00:00:00
601,522,36,0,НИЛ эксперимент. физики,Научно-исследовательская лаборатория экспериментальной физики,НИЛ ЭФ,1993-03-17T00:00:00,2009-12-01T00:00:00
602,523,33,0,НИЛ литейных сплавов,Научно-исследовательская лаборатория литейных сплавов,НИЛ ЛС,1968-11-20T00:00:00,2013-01-31T00:00:00
603,523,33,0,НИЛ оборуд-я и технол. сварочного пр-ва,Научно-исследовательская лаборатория оборудования и технологии сварочного производства,НИЛ СП,1968-11-20T00:00:00,2009-12-01T00:00:00
604,523,33,0,НИЛ общей и полупров. металлургии,Научно-исследовательская лаборатория общей и полупроводниковой металлургии,НИЛ ОПМ,1968-11-20T00:00:00,2009-12-01T00:00:00
605,526,35,56,НИЛ компьютерных систем и программных технологий,Научно-исследовательская лаборатория компьютерных систем и программных технологий,НИЛ КСПТ,1968-11-20T00:00:00,
606,526,35,56,НИЛ ИУС,Научно-исследовательская лаборатория информационных и управляющих систем,НИЛ ИУС,1968-11-20T00:00:00,
607,526,35,56,НИЛ ИИТ,Научно-исследовательская лаборатория информационно-измерительной техники,НИЛ ИИТ,1968-11-20T00:00:00,
608,528,0,0,НИЛ физической электроники,Научно-исследовательская лаборатория физической электроники,НИЛ ФЭ,1968-11-20T00:00:00,2013-02-01T00:00:00
609,528,0,0,НИЛ прикл. физики и оптики твердого тела,Научно-исследовательская лаборатория прикладной физики и оптики твердого тела,НИЛПФОТТ,1968-11-20T00:00:00,2013-02-01T00:00:00
61,1860,33,5,"Кафедра ""Инженерная  графика и дизайн""","Кафедра ""Инженерная графика и дизайн""",ИГД,1968-11-20T00:00:00,
610,528,0,0,НИЛ физики полупроводников,Научно-исследовательская лаборатория физики полупроводников,НИЛ ФПП,1968-11-20T00:00:00,2009-12-01T00:00:00
611,527,0,0,НИЛ физики твердого тела,Научно-исследовательская лаборатория физики твердого тела,НИЛ ФТТ,1968-11-20T00:00:00,2009-12-01T00:00:00
613,2,0,0,Центр информационных технологий в строительстве,"Центр ""Информационные технологии в строительстве""",ЦИТС,2000-06-05T00:00:00,2012-07-20T00:00:00
614,1586,10,1,Отдел диагностики и экспертиз,Отдел диагностики и экспертиз,ОДЭ,1993-05-26T00:00:00,2015-06-10T00:00:00
615,419,0,0,"МНИЛ ""Инжекторы термоядерного топлива""","Межфакультетская научно-исследовательская лаборатория ""Инжекторы термоядерного топлива""",МНИЛ ИТТ,1968-11-20T00:00:00,2007-07-06T00:00:00
616,6,31,1,Кабинет использования водной энергии,Кабинет использования водной энергии,Каб. ИВЭ,1968-11-20T00:00:00,2013-01-31T00:00:00
617,1,0,0,Учебно-консультационный центр в г.Чудово,Учебно-консультационный центр в г.Чудово,УКЦЧуд,1968-11-20T00:00:00,2013-05-01T00:00:00
618,112,0,0,Учебная лаборатория,Учебная лаборатория,УЛ КМЭ,1968-11-20T00:00:00,2007-04-03T00:00:00
619,142,34,22,Лаборатория радиотехники,Лаборатория радиотехники,ЛРТ,1968-11-20T00:00:00,2015-01-19T00:00:00
62,1860,33,2,"Кафедра ""Теория механизмов и машин""","Кафедра ""Теория механизмов и машин""",ТММ,1968-11-20T00:00:00,
620,146,34,26,Лаборатория эксперимент. методов иссл-я полупроводников,Лаборатория экспериментальных методов исследования полупроводников,ЛЭМИП,1992-03-09T00:00:00,2015-01-19T00:00:00
621,572,31,53,Отделение  инженерных систем зданий и сооружений,"Отделение  ""Инженерные системы зданий и сооружений""",ОИСЗиС,1993-03-17T00:00:00,2009-12-01T00:00:00
622,621,31,53,Автошкола СПбГПУ,Автошкола СПбГПУ,АвтШ,1993-03-17T00:00:00,2009-12-01T00:00:00
623,6,31,1,Лаборатория численно-аналитического моделирования,Лаборатория численно-аналитического моделирования,Лаб. ЧАМ,1999-01-01T00:00:00,2016-04-06T00:00:00
625,2,0,0,Центр безопасности водохозяйственных объектов,Центр безопасности водохозяйственных объектов,ЦБВО,1999-11-25T00:00:00,2012-07-20T00:00:00
626,90,0,0,Лаборатория пирометаллургии,Лаборатория пирометаллургии,Лаб.ПМ,1968-11-20T00:00:00,2012-12-10T00:00:00
627,6,31,1,Филиал кафедры во ВНИИ гидротехники им. Б.Е. Веденее,Филиал кафедры во ВНИИ гидротехники им. Б.Е. Веденеева,ФК ВНИИГ,1982-06-11T00:00:00,2015-12-10T00:00:00
628,6,31,1,Лаборатория испытания сооружений,Лаборатория испытания сооружений,Лаб.ИС,1968-11-20T00:00:00,2015-12-10T00:00:00
629,19,0,0,Отдел охраны (для 9 корпуса),Отдел охраны (для 9 корпуса),ООхр9,1968-11-20T00:00:00,2007-04-02T00:00:00
63,51,0,0,Кафедра информационной машиностроительной технологии,"Кафедра ""Информационная машиностроительная технология""",КИМТ,1992-01-09T00:00:00,2012-07-01T00:00:00
630,6,31,1,Кабинет гидротехнических сооружений,Кабинет гидротехнических сооружений,Каб. ГС,1968-11-20T00:00:00,2013-01-31T00:00:00
631,189,0,0,"НПЦ ""Жизнеобесп. и безоп. спецобъектов""","Научно-производственный центр ""Жизнеобеспечение и безопасность спецобъектов""",НПЦЖиБСО,1968-11-20T00:00:00,2007-03-01T00:00:00
632,631,0,0,Опыт. эксп. цех пр-ва углеродн. материалов,Опытный экспериментальный цех производства углеродных материалов,ОЭЦПУМ,1968-11-20T00:00:00,2007-03-01T00:00:00
633,631,0,0,Опыт. эксп. цех пр-ва констр. материалов,Опытный экспериментальный цех производства конструкционных материалов,ОЭЦПКМ,1968-11-20T00:00:00,2007-03-01T00:00:00
634,106,37,13,Центр управления недвижимостью,Центр управления недвижимостью,ЦУН,1997-03-04T00:00:00,
635,634,37,13,Отдел управления объектами,Отдел управления объектами,ОУО,1968-11-20T00:00:00,
636,634,37,13,"Отдел научных разработок, информатики и маркетинга","Отдел научных разработок, информатики и маркетинга",ОНРИиМ,1968-11-20T00:00:00,
637,2542,37,13,Высшая школа управления и финансов,Высшая школа управления и финансов,ВШУФ,1994-03-04T00:00:00,
638,6,31,1,Филиал кафедры в ЛОГидроПроект им. С.Я. Жука,Филиал кафедры в ЛОГидроПроект им. С.Я. Жука,ФК ЛОГП,1991-01-31T00:00:00,2015-12-10T00:00:00
639,282,0,0,Учебный центр МПИ,Учебный центр МПИ,УЦ МПИ,1968-11-20T00:00:00,2009-07-20T00:00:00
64,1579,9,1,Эксплуатационно-хозяйственное управление,Эксплуатационно-хозяйственное управление,ЭХУ,1968-11-20T00:00:00,
640,1124,4,2,УНЦ по вычислительной механике ГОУ СПбГПУ,Учебно-научный центр  по вычислительной механике ГОУ СПбГПУ,УНЦ ВМ,1968-11-20T00:00:00,2008-06-05T00:00:00
641,310,11,2,Отдел платных  образовательных услуг,Отдел платных  образовательных услуг,ОПОУ,1968-11-20T00:00:00,
642,180,38,6,УЛ по обучению русскому языку,Учебная лаборатория по обучению русскому языку,УЛ ОРЯ,1968-11-20T00:00:00,
643,260,0,0,Центр инвалидной техники,Центр инвалидной техники,ЦИТ,2000-11-30T00:00:00,2013-02-01T00:00:00
644,305,0,0,Представительство СПбГПУ в г. Гатчина,Представительство СПбГПУ в г. Гатчина,ПредГатч,1968-11-20T00:00:00,2009-04-01T00:00:00
645,332,36,1,Учебно-вычислительная лаборатория,Учебно-вычислительная лаборатория,УВЛ КПМ,2001-04-02T00:00:00,
646,350,9,2,Методический кабинет по охране труда,Методический кабинет по охране труда,МКабОТ,1968-11-20T00:00:00,
647,526,35,56,НИЛ ТК,Научно-исследовательская лаборатория технической кибернетики,НИЛ ТК,1968-11-20T00:00:00,2013-02-01T00:00:00
648,268,0,0,Кафедра инвестиционного инжиниринга,"Кафедра ""Инвестиционный инжиниринг""",КИИ,1968-11-20T00:00:00,2012-09-01T00:00:00
649,10,31,4,Лаборатория строительной механики и теории упругости,Лаборатория строительной механики и теории упругости,Лаб. СМТУ,1968-11-20T00:00:00,
65,521,33,0,НИЛ автоматов,Научно-исследовательская лаборатория автоматов,НИЛАвт,1993-03-17T00:00:00,2013-01-31T00:00:00
650,10,31,4,Кабинет стр. механики и теории упругости,Кабинет строительной механики и теории упругости,Каб.СМТУ,1968-11-20T00:00:00,2013-01-31T00:00:00
651,10,31,4,Кабинет инженерных конструкций,Кабинет инженерных конструкций,Каб. ИК,1968-11-20T00:00:00,2013-01-31T00:00:00
652,10,31,4,Лаборатория строительных материалов  и инженерной геодезии,Лаборатория строительных материалов  и инженерной геодезии,Лаб.СМИГ,1968-11-20T00:00:00,
653,14,31,6,Гидравлическая лаборатория,Гидравлическая лаборатория,ГЛ,1968-11-20T00:00:00,
654,14,31,6,Филиал кафедры во ВНИИГ им. Б.Е. Веденеева,Филиал кафедры во ВНИИГ им. Б.Е. Веденеева,ФК ВНИИГ,1991-04-22T00:00:00,2013-01-31T00:00:00
655,1134,31,2,УЛ инж. экологии и мониторинга,"Учебная лаборатория ""Инженерная экология и мониторинг""",УЛ ИЭиМ,1996-03-15T00:00:00,
656,13,31,3,УЛ общестроительных технологий,Учебная лаборатория общестроительных технологий,УЛ ОСТ,2001-09-18T00:00:00,
657,13,31,3,УЛ инж. систем зданий и сооружений,Учебная лаборатория инженерных систем зданий и сооружений,УЛ ИСЗиС,2001-09-18T00:00:00,
658,13,31,3,Лаборатория КТ планирования и упр-я строит-вом,Лаборатория компьютерных технологий планирования и управления строительством,ЛКТПиУС,2001-09-18T00:00:00,2012-07-20T00:00:00
659,1134,31,2,Кабинет архитектуры  инж.-строит. черчения,Кабинет архитектуры  инженерно-строительного черчения,Каб.АИСЧ,1976-07-12T00:00:00,2013-01-31T00:00:00
66,51,0,0,Учебно-вычислительная лаборатория,Учебно-вычислительная лаборатория,УВЛ ММФ,1977-05-30T00:00:00,2008-07-25T00:00:00
660,1134,31,2,Филиал кафедры во ВНИИ ПИЭТ,Филиал кафедры во ВНИИ ПИЭТ,ФК ПИЭТ,1986-03-05T00:00:00,2013-01-31T00:00:00
661,1134,31,2,"Филиал кафедры в институте ""Атомэнергопроект""","Филиал кафедры в институте ""Атомэнергопроект""",ФК АЭП,1993-09-28T00:00:00,2013-01-31T00:00:00
662,13,31,3,Лаборатория механики грунтов,Лаборатория механики грунтов,Лаб.МГ,1968-11-20T00:00:00,
663,15,31,5,Лаборатория сопротивления материалов,Лаборатория сопротивления материалов,Лаб. СМ,1968-11-20T00:00:00,
664,2,0,0,Учебно-вычислительная лаборатория,Учебно-вычислительная лаборатория,УВЛ,1976-12-17T00:00:00,2012-07-20T00:00:00
665,2,0,0,Учебная лаборатория микро-ЭВМ (УВЛ-ЭВМ),Учебная лаборатория микро-ЭВМ (УВЛ-ЭВМ),УЛмЭВМ,1986-05-21T00:00:00,2012-07-20T00:00:00
666,1134,31,2,УМХЛ по переработке тв. быт. отходов,"Учебно-методическая хозрасчетная лаборатория ""Переработка твердых бытовых отходов""",УМХЛ ПБО,1993-12-11T00:00:00,
667,621,31,53,Компьютерный пресс-клуб,Компьютерный пресс-клуб,КПК,1993-03-17T00:00:00,2009-12-01T00:00:00
668,580,32,54,Научно-исследовательский сектор импульсных ИП,Научно-исследовательский сектор импульсных источников питания,НИС имп.,1993-06-18T00:00:00,
669,330,31,53,УИЛ физико-химич. методов анализа,"Учебно-исследовательская лаборатория ""Физико-химические методы анализа""",УИЛ ФХМА,2000-07-12T00:00:00,2013-02-01T00:00:00
67,51,0,0,Сектор вычислительных средств ММФ,Сектор вычислительных средств механико-машиностроительного факультета,СВС ММФ,1990-12-18T00:00:00,2008-07-25T00:00:00
670,330,31,53,УИЛ информационных систем мониторинга,"Учебно-исследовательская лаборатория ""Информационные системы мониторинга""",УИЛ ИСМ,2000-07-12T00:00:00,2013-02-01T00:00:00
671,330,31,53,УИЛ иссл-я электромагн. возд-й на прир. системы,"Учебно-исследовательская лаборатория ""Исследование электромагнитных воздействий на природные системы""",УИЛИЭВПЯ,2000-07-12T00:00:00,2013-02-01T00:00:00
672,1020,32,13,Лаборатория эл. изоляции кабелей и конденсаторов,Лаборатория электрической изоляции кабелей и конденсаторов,Лаб.эл.и,1968-11-20T00:00:00,2013-02-01T00:00:00
