id1,id2,name1,name2,uid1,uid2,weight
app_93768,app_85518,Анисифоров А.Б.,Ильин И.В.,108,108,1
app_71216,app_58522,Тукачинский А.С.,Крикунов С.В.,1676,1676,1
app_71216,app_58528,Тукачинский А.С.,Разуменко Д.В.,1676,1676,1
app_97255,app_72735,Зубов Ф.И.,Савельев А.В.,1496,866,1
app_54451,app_39206,Андреева Н.В.,Привалов В.Е.,144,77,1
app_71216,app_70383,Тукачинский А.С.,Вагнер Ф..,1676,1676,1
app_71217,app_58522,Аскинази Л.Г.,Крикунов С.В.,1676,1676,1
app_71217,app_58528,Аскинази Л.Г.,Разуменко Д.В.,1676,1676,1
app_93873,app_12641,Коровкин Н.В.,Шилин О.В.,30,580,1
app_71217,app_58578,Аскинази Л.Г.,Жубр Н.А.,1676,1676,1
app_71217,app_70383,Аскинази Л.Г.,Вагнер Ф..,1676,1676,1
app_93873,app_75652,Коровкин Н.В.,Чудный В.С.,30,24,1
app_71218,app_196,Петров Ю.В.,Габдуллин П.Г.,1676,144,1
app_54441,app_54161,Елистратов В.В.,Федоров М.П.,338,338,1
app_93873,app_85933,Коровкин Н.В.,Беляев Н.А.,30,24,1
app_71218,app_53590,Петров Ю.В.,Иванов А.Е.,1676,1483,1
app_71218,app_53769,Петров Ю.В.,Яшин А.Ю.,1676,557,1
app_54441,app_51814,Елистратов В.В.,Мирошникова Ю.А.,338,1495,1
app_93909,app_70118,Пономарев А.Н.,Киски С.С.,17,13,1
app_71218,app_58527,Петров Ю.В.,Бахарев Н.Н.,1676,1676,1
app_71218,app_58534,Петров Ю.В.,Корнев В.А.,1676,1676,1
app_71218,app_58576,Петров Ю.В.,Присяжнюк Д.В.,1676,1676,1
app_71218,app_58580,Петров Ю.В.,Ибляминова А.Д.,1676,1676,1
app_54441,app_48845,Елистратов В.В.,Аронова Е.С.,338,18,1
app_71218,app_65750,Петров Ю.В.,Иванов А.Е.,1676,70,1
app_71218,app_69589,Петров Ю.В.,Яшин А.Ю.,1676,557,1
app_93909,app_91261,Пономарев А.Н.,Никитин В.А.,17,97,1
app_71218,app_71213,Петров Ю.В.,Лашкул С.И.,1676,1676,1
app_54431,app_32377,Круглов С.К.,Саенко И.И.,125,152,1
app_54401,app_48017,Османов В.В.,Митяков В.Ю.,38,45,1
app_54401,app_31726,Османов В.В.,Сапожников С.З.,38,45,1
app_71220,app_53590,Варфоломеев В.И.,Иванов А.Е.,1676,1483,1
app_71220,app_53769,Варфоломеев В.И.,Яшин А.Ю.,1676,557,1
app_54399,app_48470,Парамонов А.П.,Рундыгин Ю.А.,38,38,1
app_543,app_3629,Лавров А.П.,Молодяков С.А.,141,125,1
app_71220,app_58576,Варфоломеев В.И.,Присяжнюк Д.В.,1676,1676,1
app_54213,app_32278,Кораблев В.В.,Александров С.Е.,338,141,1
app_94022,app_40943,Ким В.Т.,Бердников Я.А.,2228,70,1
app_71220,app_69589,Варфоломеев В.И.,Яшин А.Ю.,1676,557,1
app_71220,app_70383,Варфоломеев В.И.,Вагнер Ф..,1676,1676,1
app_54213,app_30362,Кораблев В.В.,Ерохин В.А.,338,930,1
app_54213,app_266,Кораблев В.В.,Давыдов С.Н.,338,144,1
app_54213,app_220,Кораблев В.В.,Гнучев Н.М.,338,144,1
app_54213,app_196,Кораблев В.В.,Габдуллин П.Г.,338,144,1
app_71224,app_53590,Минаев В.Б.,Иванов А.Е.,1676,1483,1
app_71224,app_53769,Минаев В.Б.,Яшин А.Ю.,1676,557,1
app_54161,app_54049,Федоров М.П.,Блинов Л.Н.,338,97,1
app_54161,app_39652,Федоров М.П.,Масликов В.И.,338,1134,1
app_71224,app_58527,Минаев В.Б.,Бахарев Н.Н.,1676,1676,1
app_71224,app_58534,Минаев В.Б.,Корнев В.А.,1676,1676,1
